gene_id	ID	log2FC	AveExpr	t_stat	P.Value	adj.P.Val	B_stat
16841	KIF13B	0.23007830755291003	2.0443413644262227	4.5957426552933525	3.1258999145312256e-4	4.8596339700528624e-4	-2.326414914743852
5253	CKMT2	-0.3325762891029003	0.5963508326429072	-4.5935406559678125	3.1399517673622507e-4	4.88104935058638e-4	-2.3310042004760154
16021	BOLA1	-0.3540191698307371	4.182741676162977	-4.592868743803563	3.1442523709871047e-4	4.887303993740484e-4	-2.3324046272114067
14343	UBAP1L	-0.2938903207599561	0.26803635132063236	-4.592802048530043	3.144679585767583e-4	4.887537419796643e-4	-2.332543637861586
11202	MEI1	-0.16286089592224637	0.18263825917110582	-4.592108837072795	3.1491234518365156e-4	4.894013031826975e-4	-2.333988492047463
8928	HIST1H4K	-0.8767030358398251	1.3915247883551363	-4.587758092311942	3.177161231187421e-4	4.937151276368227e-4	-2.34305743798397
14941	ZNF205	-0.521220960378546	3.2377639614500535	-4.5873833303329254	3.179588251138807e-4	4.940487575003596e-4	-2.343838672406445
10286	2-Mar	-0.42450878005945203	3.4483069801486645	-4.587185218043556	3.180872025186748e-4	4.941490369383876e-4	-2.34425166400096
16178	ANKRA2	-0.28646986096101745	3.707069540367286	-4.587180478318773	3.180902745252133e-4	4.941490369383876e-4	-2.344261544623727
11414	SLC41A3	0.33482770562020114	3.950949032169154	4.587154068788605	3.181073921612781e-4	4.941490369383876e-4	-2.3443165990300363
10466	SYNRG	-0.19323290295065565	3.300989140149155	-4.586632575603813	3.1844559701077615e-4	4.946308524796718e-4	-2.345403734887351
6716	BCL10	0.39841249114791033	2.9631996679613746	4.585845900434301	3.1895647704951156e-4	4.953807701476787e-4	-2.3470437189704043
11246	ZNF420	-0.33448880391939917	1.9687142533115336	-4.585034705193736	3.194841591199701e-4	4.96156649224869e-4	-2.3487348629227363
59	OPA1	0.3812085580519309	4.603006666796633	4.580051544521619	3.2274535857994583e-4	5.011771513130362e-4	-2.3591244868020054
12035	CGB1	-0.5221109068550136	0.5024061879054437	-4.579773711975531	3.2292818372152285e-4	5.014169175510567e-4	-2.359703800842893
16127	7-Sep	-0.4084836802579428	5.076776731771062	-4.57926332869882	3.2326431288154524e-4	5.018946587922399e-4	-2.3607680241162967
11984	HIC2	-0.3630774834215267	1.9229538818704084	-4.578746384796551	3.236051276449428e-4	5.023795901013799e-4	-2.3618459446433446
14591	C6orf1	-0.4741219864775372	3.9794913274999253	-4.577327973187299	3.245421584084862e-4	5.037899479667852e-4	-2.364803676460385
11092	ALDH8A1	0.21555572121154684	0.22967196160986897	4.57426557675373	3.265747160198499e-4	5.069005050169094e-4	-2.371189963004632
1062	ING3	0.5258210661450735	2.8296882654438726	4.572732174710048	3.2759734582976787e-4	5.084430698626519e-4	-2.3743879316742653
14765	TRNAU1AP	0.20454119444981744	3.768031679729462	4.5718778606095505	3.2816851052250214e-4	5.092847345740661e-4	-2.3761697027363082
10646	SAFB2	-0.3035543768068383	4.188446830484298	-4.57080868642506	3.288847587069422e-4	5.103513864990653e-4	-2.378399656146401
7600	ANKRD52	-0.19543255983620034	3.750461068570215	-4.570533866350459	3.2906912105283624e-4	5.10592562323143e-4	-2.378972854392191
5154	AEN	-0.23119816467757204	3.8955933145265864	-4.568943577242687	3.3013804033291876e-4	5.122060775264579e-4	-2.382289851251235
7850	PRR12	-0.4046387686509747	3.603117459069501	-4.56820098411732	3.3063839318123905e-4	5.129372610361782e-4	-2.383838794881897
6418	SVBP	-0.21196281927820726	3.532236098584099	-4.56812537751868	3.306893797467337e-4	5.129712509884705e-4	-2.3839965014912288
15908	VGLL2	-0.10333293291385656	0.05617174827688662	-4.5670933206640445	3.3138616917168087e-4	5.14006927776226e-4	-2.3861492894888405
11141	MRPL53	-0.24831136462733294	5.65318141349311	-4.565755614032417	3.3229155236445156e-4	5.15365939939662e-4	-2.388939740715114
2521	IZUMO1	-0.31718314412586884	0.5227343968191744	-4.56433085326246	3.332586382214519e-4	5.168204022066503e-4	-2.391911913316454
2497	C6orf89	-0.14831372259881004	3.4167388819698337	-4.561766552591608	3.350064702877322e-4	5.194852903943194e-4	-2.397261592123601
513	NEMP2	0.22209049048560114	2.310054806340134	4.557779880604488	3.377424336194734e-4	5.236369933276892e-4	-2.405579477577361
5606	RPL30	-0.1593393585741687	9.948911217746609	-4.557778783924817	3.377431893819167e-4	5.236369933276892e-4	-2.405581765855068
11578	CSNK1A1	-0.07903448181612927	7.322468763120474	-4.557727098436931	3.377788097212404e-4	5.236462004483413e-4	-2.4056896103316374
6057	HNRNPA0	-0.5011429643272507	6.554025745520657	-4.556892846167148	3.3835428722792164e-4	5.244922533410942e-4	-2.4074303449229584
2406	BPGM	0.3038433053453513	3.1569434917600323	4.556593831599424	3.385607951946928e-4	5.247662580236136e-4	-2.408054273707842
14557	SCN7A	-0.07254781240816924	0.04351932788878086	-4.555212208198083	3.395166587651118e-4	5.262016071276555e-4	-2.4109372660171164
17422	ENPP2	-0.08771111998403101	0.055408304159108704	-4.555028515674005	3.3964395247353005e-4	5.263526536839439e-4	-2.4113205808641736
1083	MANEA	0.4399747700764949	2.6932199781240205	4.553393964657589	3.407788017095265e-4	5.280649644057502e-4	-2.4147315253566903
3215	BCL2L12	0.40113976551152586	4.670264867985308	4.552703118504924	3.4125961310525055e-4	5.287635775867583e-4	-2.4161732185938556
1634	PRKAA1	0.3923014151234083	5.621791964062453	4.548468063861931	3.442223045078032e-4	5.333072711097448e-4	-2.425011807779291
11959	LANCL1	0.2612693430094142	5.154153161821348	4.54752789398645	3.448835734746328e-4	5.342848615419276e-4	-2.4269741024516636
5417	SWT1	-0.21930939909744218	1.2582044108568364	-4.546627623966186	3.455179963779803e-4	5.352206947142267e-4	-2.428853171445027
10567	MCMDC2	0.22248172108308273	2.0629282819926567	4.544010205248185	3.4736928598991257e-4	5.380411715043053e-4	-2.4343166106912504
2464	SSUH2	0.30560643791209013	0.6368130722426473	4.543859525564886	3.474761693714572e-4	5.381594750286408e-4	-2.434631143289563
5045	MYBPH	-0.1270956270402254	0.0635478135201127	-4.543060299915144	3.4804365593815994e-4	5.389910619786707e-4	-2.4362994909674986
15962	FBRSL1	-0.30995539917426473	4.072596117670116	-4.5397830081042505	3.503806103336241e-4	5.425625144830858e-4	-2.4431411078071292
