gene_symbol	log2FC_A2780	SE_A2780	pval_A2780	padj_A2780	log2FC_PEO1	SE_PEO1	pval_PEO1	padj_PEO1	log2FC_UWB_BRCAdef	SE_UWB_BRCAdef	pval_UWB_BRCAdef	padj_UWB_BRCAdef
RBM25	-0.33307281667843025	0.06805939101308786	1.7109906147377393e-4	2.7196410870531756e-4	-0.3362282732793025	0.1479178935447364	0.06084140387806716	0.13930731502889446	-0.34411820494031464	0.10186698995034647	5.864906039834411e-4	0.00185862541679465
RBM26	1.1192413049130212	0.057987369483535334	2.3358274430294882e-12	9.026444477349418e-12	0.04533612450872226	0.08517137487284203	0.6125570036239552	0.7332709549514371	-1.219580731478091	0.12174402275074636	2.4376362373786504e-24	1.173965611921558e-22
RBM26-AS1	NA	NA	NA	NA	NA	NA	NA	NA	-0.08716993655672742	0.330113779128039	0.7462215951480349	0.8216574328003547
RBM27	0.04391711047390867	0.07437604824001086	0.563276943919498	0.6092037668359358	-0.0720216136915095	0.07584905480227265	0.3769387474842432	0.5237333637220003	0.4855360177306283	0.09752332338307663	4.243487093124257e-7	2.6180157659275075e-6
RBM28	-0.9831035315716008	0.042351531060893365	1.4147032315956081e-13	6.685827594912864e-13	0.3424276812309577	0.12019003677720738	0.02733637828631045	0.07848826136051938	-0.22424918407902783	0.1041414749728139	0.02838926153918932	0.05730574176056115
RBM3	-0.188765720848445	0.025922147717511303	2.054631796413607e-6	3.855330158724618e-6	-0.21693853193752943	0.12794938636875816	0.13798786803782395	0.25482954331140995	0.7236068026716911	0.0908928455978614	7.436385114764382e-16	1.6143453511274912e-14
RBM33	-0.21369717143779976	0.031261164983134485	4.42703279948751e-6	8.079208921957034e-6	0.1816448469482572	0.08750584614897755	0.08046894011504295	0.1710781353919559	0.06851212623366482	0.11493763520185114	0.5439273003492388	0.6542342353850983
RBM34	-0.14069833749068827	0.06057027100212342	0.0339673863642416	0.04433981725770998	0.576219829708422	0.13481264814918015	0.00456077073860061	0.02312287534738395	-0.40533597846044506	0.10960603275548444	1.596520176061387e-4	5.744536504761569e-4
RBM38	0.28970521453794884	0.05466514066174225	7.655556822557685e-5	1.2556650563737696e-4	-0.01834508559100012	0.13265607107761743	0.8942760698327071	0.9341287252464076	0.8213832607467257	0.18405618490821363	2.7774430871197167e-6	1.4554367386539215e-5
RBM39	0.13368157849961193	0.055024765231617936	0.02752141274876575	0.03626355692835353	-0.3811541434736174	0.08929421550330335	0.00459079565921759	0.02321295228974425	0.00627662042441028	0.08908847229943191	0.9441923619146574	0.9635847198727404
RBM4	0.10175466842125136	0.05218578897979006	0.06928460201550975	0.08770316056236083	0.2495809153833033	0.07062983575805928	0.01113658801118316	0.04138387147709702	0.11357020538587512	0.11158220074409823	0.30011322704152826	0.41364672680996833
RBM41	-0.4108363451431223	0.06850472471591446	2.0170169617378165e-5	3.473324864712402e-5	0.16000542230712833	0.12418262023673933	0.24236416721115137	0.38100014536004434	-0.4433999008133024	0.16608236464154755	0.00516599108651192	0.01287959421568727
RBM42	-0.4532463832836857	0.09123709106556528	1.4756587601732726e-4	2.3606793477490816e-4	-0.03533124442874591	0.061319152715321075	0.5842438423293438	0.7103700985194977	0.6964114855667799	0.19474466638646168	1.492880153632276e-4	5.410178320132526e-4
RBM43	-0.5127163296581045	0.07044524687699451	2.0678758404217273e-6	3.878531317958762e-6	0.09059387032722294	0.06462244925904294	0.20770837795617544	0.3411389056499456	-0.7822712241596981	0.2413515446493552	4.189441557130364e-4	0.00137354711462514
RBM44	0.18492232579253515	0.03445256918772901	6.70588721531741e-5	1.1058633599984084e-4	-0.06420993664732416	0.07501620108893106	0.4230247927518299	0.5671859896351986	-0.7805190686133362	0.5164478818238667	0.03269087035204886	0.06481032333758947
RBM45	0.27748601360220837	0.07343891830993694	0.00169523882394873	0.00247680358858001	-0.00956342702291412	0.09461815632095982	0.9225960738093248	0.9527927589786932	0.15698241004769453	0.1631573070800758	0.3163271695618503	0.431510620357511
RBM46	0.02856189729016947	0.01259955302070981	0.03789719567584979	0.04925100008201415	NA	NA	NA	NA	NA	NA	NA	NA
RBM47	0.13011121846643592	0.029675497843035765	4.81682669154095e-4	7.369565214826593e-4	-1.0072043842733254	0.1630132699020699	6.551323428722966e-4	0.00681518472956406	-1.0440942998825913	0.13240740398975473	7.434996052221604e-16	1.6143453511274912e-14
RBM48	0.04207508590048081	0.06662527216807128	0.5367890069961809	0.5844616220099133	-0.01561291991745372	0.22618232144638337	0.9470818079078044	0.9677579026739276	-0.2776123797685464	0.15861473528673262	0.06795997066314013	0.12148349255590105
RBM4B	2.1141454208384025	0.05413639914804495	4.6055980912752527e-17	4.501493713367202e-16	-0.12227249923840032	0.12463894174670977	0.36233435923586754	0.507934871631841	0.47635452476277573	0.15972929436495417	0.00189125787036492	0.00531549078594932
RBM5	-0.9267551769744252	0.02948664544463151	1.3368706008444459e-15	9.445362891508896e-15	0.2681234524097764	0.07823768951592468	0.0127511145864397	0.04561257592001229	-0.1148083649383114	0.104467206015393	0.2628587657090779	0.37216145101733017
RBM5-AS1	NA	NA	NA	NA	NA	NA	NA	NA	-0.2558380259829058	0.24892288323837916	0.2533523586654842	0.36135147784145794
RBM6	-0.04424738203386447	0.02687987235280999	0.11960759196974706	0.14715929545507203	0.04818508823297085	0.08471922058429404	0.5889789642447542	0.7143241747330376	-0.6193411302376658	0.11914525398133574	1.0384195010868013e-7	7.12865878553097e-7
RBM7	0.00473661073461828	0.06247478646208072	0.9405229142373942	0.9481004087181368	0.2740896782906419	0.07258700030440307	0.008238915868715	0.03369357787887802	-0.2961823486969018	0.10828455467343932	0.00528100714244507	0.01314540772798192
RBM8A	-0.16867083419967344	0.02890741003148537	2.7353251375685828e-5	4.661573230002409e-5	-0.30727410928037546	0.28899228240245206	0.3262685506844331	0.47209184322795533	-0.21303880018982244	0.10939070521725672	0.04681569013825529	0.08836941413940809
