gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
LRRC8B	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.6796494707055826	0.16286940835071073	-4.172971938610329	3.00651983177433e-5	-0.9988676452563228	-0.3604312961548424	0.09453754057045018	31.432968814820832	6.890658957306911e-7	90.93094792066395	-0.7289062051847457	0.04333090705071732	-16.821854302094028	1.687918881867982e-63	NA	NA	NA	NA	9.423094160687027e-4	DOWN	3.00651983177433e-5	4	0	4	1
TIMP2	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.6853518356038641	0.16434166718180926	4.170286497371768	3.04216946732804e-5	0.3632480867682499	1.0074555844394784	0.09449684026570396	57.34485405341965	2.1691770099610795e-12	94.64895608492482	0.5612343632769309	0.02443917361264216	22.96453931595336	1.0546488676816412e-116	NA	NA	NA	NA	9.51795215468279e-4	UP	3.04216946732804e-5	4	4	0	1
MIPOL1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.5097819701249655	0.12235032089712598	-4.16657648616711	3.092081786521371e-5	-0.7495841925802508	-0.26997974766968025	0.04846231263177381	23.5596039186846	3.0867614338411666e-5	83.04271396508699	-0.4093402055456216	0.04559170661459251	-8.978391815993225	2.7475310621107196e-19	NA	NA	NA	NA	9.657019388752345e-4	DOWN	3.092081786521371e-5	4	0	4	1
ZBTB4	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.4462940956127244	0.1080958089051552	4.128690095693805	3.648357413731404e-5	0.2344302032788962	0.6581579879465526	0.03948692354072772	25.739274796614065	1.0814584027622843e-5	85.3550504838716	0.37577249917348177	0.03955468002731639	9.500076828177448	2.0973550412332316e-21	NA	NA	NA	NA	0.0011235542509151573	UP	3.648357413731404e-5	4	4	0	1
HSPA4L	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.5782857038516704	0.1400852926749619	-4.128097195709612	3.6577750840471915e-5	-0.8528478322583484	-0.3037235754449925	0.06646658359529194	22.13653574462423	6.110013732526754e-5	85.12918375582343	-0.6028186434721898	0.05338560120144472	-11.29178336303678	1.4408317197106543e-29	NA	NA	NA	NA	0.0011244954810556904	DOWN	3.6577750840471915e-5	4	0	4	1
DDX59	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.6020162492798858	0.14655056129708685	-4.107908178253104	3.992587629692755e-5	-0.8892500713363056	-0.3147824272234661	0.06401006664263752	17.154458259226537	6.568824663234791e-4	79.68216650959758	-0.7094724433587069	0.04559027511990994	-15.561925026613183	1.3206627413530503e-54	NA	NA	NA	NA	0.0012231710837102051	DOWN	3.992587629692755e-5	4	0	4	1
HMOX2	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.5739544038677429	0.14063749668304906	4.081090871243595	4.482482459669492e-5	0.29830997549309546	0.8495988322423903	0.06517918278360738	19.954257869830354	1.7348804982671729e-4	83.63310649592074	0.4833178003337654	0.05305805427476436	9.10922586476456	8.297187831577319e-20	NA	NA	NA	NA	0.001368511959232774	UP	4.482482459669492e-5	4	4	0	1
HS6ST2	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.8724384382388775	0.2144122763209653	-4.068976148235455	4.7220180436167186e-5	-1.2926787776712196	-0.4521980988065353	0.1698978361423845	67.27715417372374	1.6335883777715032e-14	94.09981096303908	-1.1730051203997576	0.04021921029131281	-29.165294691356035	5.34553787327333e-187	NA	NA	NA	NA	0.0014317515086966163	DOWN	4.7220180436167186e-5	4	0	4	1
PDIA6	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.7719601451303154	0.18991915405830048	-4.064677672760394	4.809888701329132e-5	-1.1441948470588983	-0.3997254432017325	0.13900949595617393	179.81888237706437	9.651145779322323e-39	97.66510670939124	-0.9769591861685166	0.02275768195022671	-42.92876525408969	0	NA	NA	NA	NA	0.0014558973043389566	DOWN	4.809888701329132e-5	4	0	4	1
GPHN	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.7829845607745364	0.19277762386575537	-4.061594624279547	4.8738655608486485e-5	-1.160821760576626	-0.40514736097244675	0.11713317335993172	15.527218426811093	0.00141728824464594	82.88481973769863	-0.9528431506044368	0.04110852235398613	-23.178725384471115	7.46400328765557e-119	NA	NA	NA	NA	0.0014721156755293026	DOWN	4.8738655608486485e-5	4	0	4	1
